カテゴリ,入荷日,検査完了日,発注番号,品番,品名,サプライヤ,入荷数量,不良数量,検査内容,検査資料,作業者,検査数量,検査工数(分),人工,検査場所,検査治具,検査結果・備考,品質基準書修正要否と箇所
メカ,2025-04-16,2025-04-30,,EX000895,粒剤タンク 13.5L,FAモールディング,80?,3,外観,検査基準書 適用型式AC101P13,西村・西浦,外観全数,180,2,中宗岡倉庫,ライト、ゲージ、ポスト、キャップ、,インサート抜け、カットライン不良,
メカ,2025-04-10,2025-04-24,,EX002050-02,FA28.2*9.2　R　,T-motor,100,,外観,基準書、限度見本別にあり,西村,外観全数,120,1,本社1階,,,
メカ,2025-04-10,2025-04-24,,EX002049-02,FA28.2*9.2　L,T-motor,100,,外観,基準書、限度見本別にあり,西村,,120,1,本社1階,,,
メカ,2025-04-28,2025-04-30,,EX002573-03,粒剤制御版ケーブルカバー付き,ユニット産業,100,,外観,無し,西浦・西村,外観全数,30,2,本社1階,,基板取付はまだ,
メカ,2025-05-09,2025-05-12,,EX002545-11,FC Carrier Upper Case,北村化学/サンリード,200,,外観寸法,検査基準書 適用型式AC102,西村,外観全数抜き取り２０,30,1,本社1階,,ノギスでの計測の誤差あり。,
メカ,2025-05-09,2025-05-12,,EX002546-11,FC Carrier Lower Case,北村化学/サンリード,200,,外観寸法,検査基準書 適用型式AC102,西村,外観全数抜き取り２０,30,1,本社1階,,ノギスでの計測の誤差あり。,
メカ,2025-05-09,2025-05-12,,EX002547-11,FC Upper Case,北村化学/サンリード,200,,外観寸法,検査基準書 適用型式AC102,西村,外観全数抜き取り２０,50,1,本社1階,,ノギスでの計測の誤差あり。,
メカ,2025-05-09,2025-05-12,,EX002548-12,FC Lower Case,北村化学/サンリード,200,,外観寸法,検査基準書 適用型式AC102,西村,外観全数抜き取り２０,50,1,本社1階,,ノギスでの計測の誤差あり。,
メカ,2025-06-09,2025-06-09,,EX000895,粒剤タンク 13.5L,FAモールディング,103,,外観寸法,検査基準書 適用型式AC102,西浦・石原・西村,全数,180,3,中宗岡倉庫,,FA様と打ち合わせ予定,
メカ,2025-06-06,2025-06-12,,EX002050-02,FA28.2*9.2　R　,T-motor,100,2,外観,ポータルのサービス開発購買海外に検査技術要件あり,,,120,1,本社1階,ペーパータオルパーツクリーナー,汚れが多い,非体裁面のキズは体裁面より寛容に
