カテゴリ,入荷日,検査完了日,品番,品名,サプライヤ,入荷数量,不良数量,検査内容,検査資料,作業者,検査数量,検査工数(分),人工,検査場所,検査治具,検査結果・備考,品質基準書修正要否と箇所
エレキ,2025-09-19,2025-09-26,EX002618-02,U8 Lite Armset CCW（ver2023),T-MOTOR,100,,コネクタ周り,無し,西村、長野佳,外観全数,120,,本社1階,,本体と配線部のラップ剥がしと外観、取り付けてあるネジの脱落の有無、配線のコネクタ端子の抜けや、被覆の痛みが無いことを確認する,
エレキ,2025-09-29,2025-09-30,EX000929-13,ギアBOX planetary box 3-3,ヨシカワ,36,,無負荷運転回転数,無し,西村,外観全数,40,1,３階,安定化電源、j回転計,,
エレキ,2025-10-14,2025-10-16,EX002521-01,Harness(FC-SIG HUB),ユニット産業,100,,配線長外観,無し,西村,外観全数,20,1,３階,,,
エレキ,2025-10-14,2025-10-16,EX000864-31,フロートセンサーAssy,ユニット産業,99,,配線長外観,無し,西村,外観全数,20,1,３階,,,
エレキ,2025-10-14,2025-10-16,EX002515-12,液剤ポンプ配線加工,ユニット産業,50,,配線長外観,無し,西村,外観全数,20,1,３階,,,
エレキ,,2025-10-27,EX002518-01,GPS　Module（加工後）,ユニット産業（株）,20,,外観,ハーネス図面,西村,外観　配線長,15,,１階,,本体と配線部のラップ剥がしと外観、取り付けてあるネジの脱落の有無、配線のコネクタ端子の抜けや、被覆の痛みが無いことを確認する,
エレキ,,,EX002618-02,U8 Lite Armset CCW（ver2023),T-MOTOR,300,0,外観、ハーネス,ハーネス図面,杉山,外観、配線断線,,,地下１階,,,
エレキ,2025-10-23,2026-12-24,EX002617-02,U8 Lite Armset CW（ver2023),T-MOTOR,250,0,外観、ハーネス,ハーネス図面,杉山（残数検査),外観、配線断線,,,地下１階,,本体と配線部のラップ剥がしと外観、取り付けてあるネジの脱落の有無、配線のコネクタ端子の抜けや、被覆の痛みが無いことを確認する,
エレキ,2025-10-23,2026-12-24,EX002618-02,U8 Lite Armset CCW（ver2023),T-MOTOR,250,0,外観、ハーネス,ハーネス図面,杉山（残数検査),外観、配線断線,,,地下１階,,,
エレキ,,2025-11-10,EX002631-11,シャッターサーボ(コネクター加工後),ユニット産業株式会社,100,0,外観、ハーネス,ハーネス図面,西村、長野佳,外観全数、配線抜き取り,25,1,本社1階,スケール,入庫時の荷姿は本体のみとする（ネジも除外する）,
エレキ,2025-11-27,2025-11-27,EX000929-13,ギアBOX planetary box 3-3,ヨシカワ,48,0,外観のみ,,西村、長野佳,外観のみ,10,1,本社1階,,今回より、検査表は必ず作業報告書に添付する事の上、員数確認と梱包状態の確認のみとします。,
