品名,カテゴリ,検査回数,工数記録あり,合計工数(分),合計工数(時間),平均工数(分/回),数値でない値
FC放熱シート,メカ,1,0,0,0,0,
H12,時間かかる,1,0,0,0,0,
H12　Custom,買い物,1,0,0,0,0,131.5h
Lower Plate Cover,メカ,1,0,0,0,0,
M2 ナイロンナット,Api,1,0,0,0,0,
M3 ナイロンナット,Api,1,0,0,0,0,
Power cable,Api,1,0,0,0,0,
Stepped bolt M3ｘ2ｘ8,Api,2,0,0,0,0,
TR-5912F　8mm×8mm,メカ,1,0,0,0,0,
USB Connector Cover（TKUCA4）,買い物,1,0,0,0,0,ー
unit housing 1 5,メカ,2,0,0,0,0,
シャッターギアガスケット,メカ,1,0,0,0,0,
シャッターギヤ,メカ,1,0,0,0,0,↑
タンクキャップ,メカ,1,0,0,0,0,↓
ハウジング,メカ,1,0,0,0,0,↓
プロポ検査,エレキ,1,0,0,0,0,６個／８０分
モーターカバー 3,メカ,2,0,0,0,0,
外部LED基板（コンディションLED）,エレキ,1,0,0,0,0,
